name	category	lang	homepage	desc_cn	desc_en	binlist	rule
wrk	test	c	https://github.com/wg/wrk	HTTP 基准测试工具	Modern HTTP benchmarking tool	wrk	{"/asdf":{"cmd":"x asdf use wrk","reference":"https://github.com/ivanvc/asdf-wrk"},"darwin/brew":{"cmd":"brew install wrk","reference":"https://formulae.brew.sh/formula/wrk#default"},"ubuntu/apt":{"cmd":"sudo apt-get install wrk","reference":"https://github.com/wg/wrk","dsnap":"wrk"},"debian/apt":{"cmd":"sudo apt-get install wrk","reference":"https://github.com/wg/wrk","dsnap":"wrk"},"arch/yay":{"cmd":"yay -S wrk","reference":"https://aur.archlinux.org/packages/wrk"}}
octocov	test	Go	https://github.com/k1LoW/octocov	一个用于收集代码指标（代码覆盖率、代码与测试比率、测试执行时间和您自己的自定义指标）的工具包	a toolkit for collecting code metrics (code coverage, code to test ratio, test execution time and your own custom metrics).	octocov	{"darwin/brew":{"cmd":"brew install k1LoW/tap/octocov","reference":"https://github.com/k1LoW/octocov?tab=readme-ov-file#install"},"/go":{"cmd":"go install github.com/k1LoW/octocov@latest","reference":"https://github.com/k1LoW/octocov?tab=readme-ov-file#install","dsnap":"github.com/k1LoW/octocov@latest"}}
siege	test	c	https://github.com/JoeDog/siege	Siege 是一个开源的回归测试和基准测试工具	Siege is an open source regression test and benchmark utility	siege	{"darwin/brew":{"cmd":"brew install siege","reference":"https://formulae.brew.sh/formula/siege#default"},"debian/apt":{"cmd":"sudo apt-get install siege","reference":"https://command-not-found.com/siege","dsnap":"siege"},"ubuntu/apt":{"cmd":"sudo apt-get install siege","reference":"https://command-not-found.com/siege","dsnap":"siege"},"alpine/apk":{"cmd":"sudo apk add siege","reference":"https://command-not-found.com/siege","dsnap":"siege"},"arch/pacman":{"cmd":"sudo pacman -S siege","reference":"https://command-not-found.com/siege"},"kali/apt":{"cmd":"sudo apt-get install siege","reference":"https://command-not-found.com/siege","dsnap":"siege"},"fedora/dnf":{"cmd":"sudo dnf install siege","reference":"https://command-not-found.com/siege","dsnap":"siege"},"raspbian/apt":{"cmd":"sudo apt-get install siege","reference":"https://command-not-found.com/siege"}}
loadtest	test	javascript	https://github.com/alexfernandez/loadtest	对选定的 HTTP 或 WebSockets URL 运行负载测试	Runs a load test on the selected HTTP or WebSockets URL	loadtest	{"/x":{"cmd":"x pkg use loadtest","reference":"https://x-cmd.com/install/"},"/npm":{"cmd":"npm install -g loadtest","reference":"https://github.com/alexfernandez/loadtest?tab=readme-ov-file#installation","dsnap":"loadtest"}}
oha	test	Rust	https://github.com/hatoo/oha	HTTP 负载生成器	HTTP load generator	oha	{"/x":{"cmd":"x pkg use oha","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install oha","reference":"https://formulae.brew.sh/formula/oha#default"},"/cargo":{"cmd":"cargo install oha","reference":"https://crates.io/crates/oha","dsnap":"oha"},"arch/pacman":{"cmd":"sudo pacman -S oha","reference":"https://github.com/hatoo/oha?tab=readme-ov-file#on-macos-homebrew"},"arch/yay":{"cmd":"yay -S oha-git","reference":"https://aur.archlinux.org/packages/oha-git"}}
ovhcli	cloud-public	python	https://github.com/ovh/ovh-cli	OVH 命令行界面	OVH command line interface	ovhcli	{"/pip":{"cmd":"pip install ovhcli","reference":"https://github.com/ovh/ovh-cli?tab=readme-ov-file#installation","dsnap":"ovhcli"},"/git":{"cmd":"pip install -e git+https://github.com/ovh/ovh-cli.git#egg=ovh-cli","reference":"https://github.com/ovh/ovh-cli?tab=readme-ov-file#installation"}}
tccli	cloud-public	python	https://github.com/TencentCloud/tencentcloud-cli	tccli 是管理腾讯云资源的命令行工具	tccli is a command-line tool for managing Tencent Cloud resources	tccli	{"/x":{"cmd":"x pkg use tccli","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install tccli","reference":"https://github.com/TencentCloud/tencentcloud-cli?tab=readme-ov-file#%E5%AE%89%E8%A3%85tccli","dsnap":"tccli"},"darwin/brew":{"cmd":"brew tap tencentcloud/tccli \\\n&& brew install tccli\n","reference":"https://github.com/TencentCloud/tencentcloud-cli?tab=readme-ov-file#%E5%AE%89%E8%A3%85tccli"}}
aliyun	cloud-public	go	https://github.com/aliyun/aliyun-cli	阿里云 CLI 是一种通过命令行界面管理和使用阿里云资源的工具	The Alibaba Cloud CLI is a tool to manage and use Alibaba Cloud resources through a command line interface	aliyun	{"/x":{"cmd":"x pkg use aliyun","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install aliyun-cli","reference":"https://formulae.brew.sh/formula/aliyun-cli#default"},"/curl":{"cmd":"/bin/bash -c \"$(curl -fsSL https://raw.githubusercontent.com/aliyun/aliyun-cli/HEAD/install.sh)\"","reference":"https://github.com/aliyun/aliyun-cli#installation"},"arch/yay":{"cmd":"yay -S aliyun-cli-bin","reference":"https://aur.archlinux.org/packages/aliyun-cli-bin"}}
awscli	cloud-public	python	https://github.com/aws/aws-cli	Amazon Web Services 的通用命令行界面	Universal Command Line Interface for Amazon Web Services	aws	{"/x":{"cmd":"x pkg use awscli","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use awscli","reference":"https://github.com/MetricMike/asdf-awscli"},"/pip":{"cmd":"pip3 install awscli","reference":"https://docs.aws.amazon.com/cli/v1/userguide/install-linux.html","dsnap":"awscli"},"darwin/brew":{"cmd":"brew install awscli","reference":"https://formulae.brew.sh/formula/awscli#default"},"(win|wsl2)/scoop":{"cmd":"x scoop install aws","reference":"https://scoop.sh/#/apps?q=aws"}}
hcloud	cloud-public	go	https://github.com/hetznercloud/cli	hcloud 是用于与 Hetzner Cloud 交互的命令行工具。	hcloud is a command-line interface for interacting with Hetzner Cloud.	hcloud	{"/x":{"cmd":"x pkg use hcloud","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use hcloud","reference":"https://github.com/chessmango/asdf-hcloud"},"darwin/brew":{"cmd":"brew install hcloud","reference":"https://github.com/hetznercloud/cli?tab=readme-ov-file#installation"},"ubuntu/apt":{"cmd":"sudo apt-get install hcloud-cli","reference":"https://packages.ubuntu.com/source/focal/hcloud-cli"},"(win|wsl2)/scoop":{"cmd":"x scoop install hcloud","reference":"https://scoop.sh/#/apps?q=hcloud"}}
athenacli	cloud-public	python	https://github.com/dbcli/athenacli	AthenaCLI 是 AWS Athena 服务的一个 CLI 工具，可以自动补全和语法突显。	AthenaCLI is a CLI tool for AWS Athena service that can do auto-completion and syntax highlighting.	athenacli	{"/x":{"cmd":"x pkg use athenacli","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install athenacli","reference":"https://github.com/dbcli/athenacli#install-via-pip","dsnap":"athenacli"},"darwin/brew":{"cmd":"brew install athenacli","reference":"https://formulae.brew.sh/formula/athenacli#default"}}
create-cloudflare	cloud-public	typescript	https://github.com/cloudflare/workers-sdk	Cloudflare Workers 的 CLI	the CLI for Cloudflare Workers	create-cloudflare	{"/x":{"cmd":"x pkg use create-cloudflare","reference":"https://x-cmd.com/install/"},"/npm":{"cmd":"npm create cloudflare@latest","reference":"https://developers.cloudflare.com/workers/get-started/guide/#1-create-a-new-worker-project","dsnap":"cloudflare"},"/yarn":{"cmd":"yarn create cloudflare","reference":"https://developers.cloudflare.com/workers/get-started/guide/#1-create-a-new-worker-project"}}
ibmcloud	cloud-public	go	https://github.com/IBM-Cloud/ibm-cloud-cli-release	IBM Cloud 的命令行客户端	This is the command line client for IBM Cloud	ibmcloud	{"/x":{"cmd":"x pkg use ibmcloud","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use ibmcloud","reference":"https://github.com/triangletodd/asdf-ibmcloud"},"arch/yay":{"cmd":"yay -S ibmcloud-cli","reference":"https://aur.archlinux.org/packages/ibmcloud-cli"},"darwin/curl":{"cmd":"curl -fsSL https://clis.cloud.ibm.com/install/osx | sh","reference":"https://cloud.ibm.com/docs/cli?topic=cli-install-ibmcloud-cli#shell_install"},"linux/curl":{"cmd":"curl -fsSL https://clis.cloud.ibm.com/install/osx | sh","reference":"https://cloud.ibm.com/docs/cli?topic=cli-install-ibmcloud-cli#shell_install"},"win/powershell":{"cmd":"x pwsh iex (New-Object Net.WebClient).DownloadString('https://clis.cloud.ibm.com/install/powershell')","reference":"https://cloud.ibm.com/docs/cli?topic=cli-install-ibmcloud-cli#shell_install"}}
vultr-cli	cloud-public	go	https://github.com/vultr/vultr-cli	Vultr 服务的官方命令行工具	Official command line tool for Vultr services	vultr-cli	{"/x":{"cmd":"x pkg use vultr-cli","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use vultr-cli","reference":"https://github.com/ikuradon/asdf-vultr-cli"},"darwin/brew":{"cmd":"brew install vultr/vultr-cli/vultr-cli","reference":"https://formulae.brew.sh/formula/vultr#default"},"arch/pacman":{"cmd":"sudo pacman -S vultr-cli","reference":"https://github.com/vultr/vultr-cli?tab=readme-ov-file#installing-on-arch-linux"},"fedora/dnf":{"cmd":"sudo dnf install vultr-cli","reference":"https://github.com/vultr/vultr-cli?tab=readme-ov-file#installing-on-fedora","dsnap":"vultr-cli"},"openbsd/pkg_add":{"cmd":"pkg_add vultr-cli","reference":"https://github.com/vultr/vultr-cli?tab=readme-ov-file#installing-on-openbsd"}}
ucloud	cloud-public	go	https://www.ucloud.cn	UCloud 命令行界面	UCloud Command Line Interface	ucloud	{"/x":{"cmd":"x pkg use ucloud","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install ucloud","reference":"https://formulae.brew.sh/formula/ucloud#default"}}
fastly	cloud-public	go	https://github.com/fastly/cli	fastly 是一个开源命令行工具，用于与 Fastly API 交互。使用它来创建服务、管理后端和域、上传 VCL 或构建和部署计算包	fastly is an open-source command line tool for interacting with the Fastly API. Use it to create services, manage backends and domains, upload VCL or build and deploy Compute packages	fastly	{"/x":{"cmd":"x pkg use fastly","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install fastly/tap/fastly","reference":"https://developer.fastly.com/learning/tools/cli/#installing"},"arch/yay":{"cmd":"yay -S fastly-bin","reference":"https://aur.archlinux.org/packages/fastly-bin"}}
flarectl	cloud-public	Go	https://github.com/cloudflare/cloudflare-go	用于与 Cloudflare 帐户交互的 CLI 应用程序	A CLI application for interacting with a Cloudflare account	flarectl	{"/x":{"cmd":"x pkg use flarectl","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use flarectl","reference":"https://github.com/ORCID/asdf-flarectl"},"arch/yay":{"cmd":"yay -S flarectl-bin","reference":"https://aur.archlinux.org/packages/flarectl-bin"},"/go":{"cmd":"go get github.com/cloudflare/cloudflare-go","reference":"https://github.com/cloudflare/cloudflare-go?tab=readme-ov-file#installation","dsnap":"github.com/cloudflare/cloudflare-go"}}
doctl	cloud-public	go	https://github.com/digitalocean/doctl	DigitalOcean API 的官方命令行工具。	The official command line interface for the DigitalOcean API.	doctl	{"/x":{"cmd":"x pkg use doctl","reference":"https://x-cmd.com/install/"},"/asdf":{"cmd":"x asdf use doctl","reference":"https://github.com/maristgeek/asdf-doctl"},"darwin/brew":{"cmd":"brew install doctl","reference":"https://github.com/digitalocean/doctl?tab=readme-ov-file#macos"},"darwin/port":{"cmd":"sudo port install doctl","reference":"https://ports.macports.org/port/doctl/"},"/snap":{"cmd":"sudo snap install doctl","reference":"https://github.com/digitalocean/doctl?tab=readme-ov-file#snap-supported-os"},"arch/pacman":{"cmd":"sudo pacman -S doctl","reference":"https://github.com/digitalocean/doctl?tab=readme-ov-file#arch-linux"},"fedora/dnf":{"cmd":"sudo dnf install doctl","reference":"https://github.com/digitalocean/doctl?tab=readme-ov-file#fedora"},"nix/":{"cmd":"nix-shell -p doctl","reference":"https://search.nixos.org/packages?channel=23.11&show=doctl&from=0&size=50&sort=relevance&type=packages&query=doctl"}}
influx	cloud-public	go	https://github.com/influxdata/influx-cli	用于管理 InfluxDB v2 中资源的 CLI	CLI for managing resources in InfluxDB v2	influx	{"/x":{"cmd":"x pkg use influx","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install influxdb-cli","reference":"https://docs.influxdata.com/influxdb/v2/tools/influx-cli/#use-homebrew"}}
eas-cli	cloud-public	typescript	https://docs.expo.dev/eas/	Expo 应用服务(EAS)是世博会背后的团队为世博会和 React 本地应用提供的深度集成云服务	Expo Application Services (EAS) are deeply integrated cloud services for Expo and React Native apps, from the team behind Expo	eas-cli	{"/npm":{"cmd":"npm install -g eas-cli","reference":"https://github.com/expo/eas-cli?tab=readme-ov-file#installation","dsnap":"eas-cli"},"/yarn":{"cmd":"yarn global add eas-cli","reference":"https://github.com/expo/eas-cli?tab=readme-ov-file#installation"}}
cf-cli	cloud-public	go	https://docs.cloudfoundry.org/cf-cli/	Cloud Foundry 的官方命令行客户端	The official command line client for Cloud Foundry	cf-cli	{"/apt":{"cmd":"wget -q -O - https://packages.cloudfoundry.org/debian/cli.cloudfoundry.org.key \\\n&& sudo apt-key add - \\\n&& echo \"deb https://packages.cloudfoundry.org/debian stable main\" \\\n&& sudo tee /etc/apt/sources.list.d/cloudfoundry-cli.list \\\n&& sudo apt-get install cf8-cli \\\n&& sudo apt-get install cf8-cli\n","reference":"https://docs.cloudfoundry.org/cf-cli/install-go-cli.html#pkg-linux"},"/yum":{"cmd":"sudo wget -O /etc/yum.repos.d/cloudfoundry-cli.repo https://packages.cloudfoundry.org/fedora/cloudfoundry-cli.repo \\\n&& sudo yum install cf8-cli\n","reference":"https://docs.cloudfoundry.org/cf-cli/install-go-cli.html#pkg-linux"},"darwin/brew":{"cmd":"brew install cloudfoundry/tap/cf-cli@8","reference":"https://docs.cloudfoundry.org/cf-cli/install-go-cli.html#pkg-mac"}}
scw	cloud-public	go	https://github.com/scaleway/scaleway-cli	Scaleway CLI 是一款帮助您直接从终端试用 Scaleway 基础设施的工具	Scaleway CLI is a tool to help you pilot your Scaleway infrastructure directly from your terminal	scw	{"/x":{"cmd":"x pkg use scw","reference":"https://x-cmd.com/install/"},"darwin/brew":{"cmd":"brew install scw","reference":"https://github.com/scaleway/scaleway-cli?tab=readme-ov-file#homebrew"},"arch/pacman":{"cmd":"sudo pacman -S scaleway-cli","reference":"https://github.com/scaleway/scaleway-cli?tab=readme-ov-file#arch-linux"},"(win|wsl2)/choco":{"cmd":"x choco install scaleway-cli","reference":"https://github.com/scaleway/scaleway-cli?tab=readme-ov-file#chocolatey"},"/curl":{"cmd":"curl -s https://raw.githubusercontent.com/scaleway/scaleway-cli/master/scripts/get.sh | sh","reference":"https://github.com/scaleway/scaleway-cli?tab=readme-ov-file#linux"}}
koocli	cloud-public	go	https://www.huaweicloud.com/	华为云命令行工具，提供了一种通过 CLI 调用云服务 API 的方法	HUAWEI cloud Command Line Tool provides a way to call cloud service APIs through the CLI	koocli	{"/x":{"cmd":"x pkg use koocli","reference":"https://x-cmd.com/install/"},"linux/curl":{"cmd":"curl -sSL https://cn-north-4-hdn-koocli.obs.cn-north-4.myhuaweicloud.com/cli/latest/hcloud_install.sh -o ./hcloud_install.sh \\\n&& bash ./hcloud_install.sh\n","reference":"https://support.huaweicloud.com/qs-hcli/hcli_02_003_02.html"},"darwin/curl":{"cmd":"curl -sSL https://cn-north-4-hdn-koocli.obs.cn-north-4.myhuaweicloud.com/cli/latest/hcloud_install.sh -o ./hcloud_install.sh \\\n&& bash ./hcloud_install.sh\n","reference":"https://support.huaweicloud.com/qs-hcli/hcli_02_003_03.html"}}
qingcloud-cli	cloud-public	python	https://www.qingcloud.com/	qingcloud-cli 是管理青云资源的命令行接口	qingcloud-cli is a command-line interface for managing qingcloud resources	qingcloud-cli	{"/x":{"cmd":"x pkg use qingcloud-cli","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip install qingcloud-cli","reference":"https://github.com/yunify/qingcloud-cli?tab=readme-ov-file#installation","dsnap":"qingcloud-cli"}}
linode-cli	cloud-public	python	https://github.com/linode/linode-cli	Linode 命令行界面	The Linode Command Line Interface	linode-cli	{"/x":{"cmd":"x pkg use linode-cli","reference":"https://x-cmd.com/install/"},"/pip":{"cmd":"pip3 install linode-cli","reference":"https://github.com/linode/linode-cli?tab=readme-ov-file#install","dsnap":"linode-cli"},"arch/yay":{"cmd":"yay -S linode-cli","reference":"https://aur.archlinux.org/packages/linode-cli"},"darwin/brew":{"cmd":"brew install linode-cli","reference":"https://github.com/linode/linode-cli/wiki/Installation#homebrew"}}
qshell	cloud-public	go	https://github.com/qiniu/qshell	使用七牛云 API 服务的命令行工具	Shell Tools for Qiniu Cloud	qshell	{"/x":{"cmd":"x pkg use qshell","reference":"https://x-cmd.com/install/"},"/curl/amd64":{"cmd":"curl -sSL https://github.com/qiniu/qshell/releases/download/latest/qshell-v2.18.0-darwin-amd64.tar.gz | tar xzvf - -C ~/.local/bin","reference":"https://github.com/qiniu/qshell/releases"},"arch/yay":{"cmd":"yay -S qiniu-qshell-bin","reference":"https://aur.archlinux.org/packages/qiniu-qshell-bin"}}
